,param,Sex,age,Mean,P5,P10,P15,P25,P50,P75,P85,P90,P95
248,HEIGHTCM,1,80,156.89999999999998,146.4,148.85,150.8,152.7,156.85000000000002,161.14999999999998,163.3,164.7,167.39999999999998
249,HEIGHTCM,1,81,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
250,HEIGHTCM,1,82,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
251,HEIGHTCM,1,83,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
252,HEIGHTCM,1,84,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
253,HEIGHTCM,1,85,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
254,HEIGHTCM,1,86,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
255,HEIGHTCM,1,87,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
256,HEIGHTCM,1,88,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
257,HEIGHTCM,1,89,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
258,HEIGHTCM,1,90,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
259,HEIGHTCM,1,91,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
260,HEIGHTCM,1,92,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
261,HEIGHTCM,1,93,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
262,HEIGHTCM,1,94,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
263,HEIGHTCM,1,95,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
264,HEIGHTCM,1,96,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
265,HEIGHTCM,1,97,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
266,HEIGHTCM,1,98,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
267,HEIGHTCM,1,99,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
268,HEIGHTCM,1,100,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
269,HEIGHTCM,1,101,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
270,HEIGHTCM,1,102,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
271,HEIGHTCM,1,103,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
272,HEIGHTCM,1,104,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
273,HEIGHTCM,1,105,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
274,HEIGHTCM,1,106,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
275,HEIGHTCM,1,107,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
276,HEIGHTCM,1,108,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
277,HEIGHTCM,1,109,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
278,HEIGHTCM,1,110,155.6,145.3,147.1,149.3,151.5,155.8,159.7,161.8,163.5,166.7
279,HEIGHTCM,0,18,175.8,164.5,167.1,168.3,171.0,176.0,180.2,183.1,184.9,187.1
280,HEIGHTCM,0,19,175.8,164.5,167.1,168.3,171.0,176.0,180.2,183.1,184.9,187.1
