,param,Sex,age,Mean,P5,P10,P15,P25,P50,P75,P85,P90,P95
70,WEIGHTKG,1,88,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
71,WEIGHTKG,1,89,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
72,WEIGHTKG,1,90,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
73,WEIGHTKG,1,91,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
74,WEIGHTKG,1,92,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
75,WEIGHTKG,1,93,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
76,WEIGHTKG,1,94,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
77,WEIGHTKG,1,95,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
78,WEIGHTKG,1,96,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
79,WEIGHTKG,1,97,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
80,WEIGHTKG,1,98,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
81,WEIGHTKG,1,99,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
82,WEIGHTKG,1,100,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
83,WEIGHTKG,1,101,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
84,WEIGHTKG,1,102,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
85,WEIGHTKG,1,103,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
86,WEIGHTKG,1,104,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
87,WEIGHTKG,1,105,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
88,WEIGHTKG,1,106,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
89,WEIGHTKG,1,107,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
90,WEIGHTKG,1,108,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
91,WEIGHTKG,1,109,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
92,WEIGHTKG,1,110,67.9,46.4,50.0,53.2,57.3,66.3,76.3,82.3,86.3,96.8
93,WEIGHTKG,0,18,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
94,WEIGHTKG,0,19,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
95,WEIGHTKG,0,20,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
96,WEIGHTKG,0,21,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
97,WEIGHTKG,0,22,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
98,WEIGHTKG,0,23,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
99,WEIGHTKG,0,24,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
100,WEIGHTKG,0,25,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
101,WEIGHTKG,0,26,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
102,WEIGHTKG,0,27,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
103,WEIGHTKG,0,28,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
104,WEIGHTKG,0,29,85.5,58.3,61.5,64.0,69.3,81.3,98.2,109.8,116.0,128.1
105,WEIGHTKG,0,30,89.95,61.65,65.85,68.8,73.44999999999999,85.5,101.4,113.0,119.9,134.0
106,WEIGHTKG,0,31,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
107,WEIGHTKG,0,32,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
108,WEIGHTKG,0,33,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
109,WEIGHTKG,0,34,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
110,WEIGHTKG,0,35,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
111,WEIGHTKG,0,36,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
112,WEIGHTKG,0,37,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
113,WEIGHTKG,0,38,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
114,WEIGHTKG,0,39,94.4,65.0,70.2,73.6,77.6,89.7,104.6,116.2,123.8,139.9
115,WEIGHTKG,0,40,94.15,65.65,70.15,74.05,78.75,90.1,104.3,114.95,121.69999999999999,136.60000000000002
116,WEIGHTKG,0,41,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
